id_interaction,id_cp_interaction,multidata_1_id,multidata_2_id,source,annotation_strategy,is_ppi,curator,directionality,classification
195,CPI-SC0671450D5,897,1808,CellChatDB_v1,user_curated,,NigelHo,,
196,CPI-SC066A4E191,668,1808,CellChatDB_v1,user_curated,,NigelHo,,
197,CPI-SC03753E185,669,1808,CellChatDB_v1,user_curated,,NigelHo,,
198,CPI-SC0E11F543C,670,1808,CellChatDB_v1,user_curated,,NigelHo,,
199,CPI-SC01D3E6936,1061,1808,CellChatDB_v1,user_curated,,NigelHo,,
200,CPI-SC092C6BB7D,60,1808,CellChatDB_v1,user_curated,,NigelHo,,
201,CPI-SC0456BB36C,671,1808,CellChatDB_v1,user_curated,,NigelHo,,
202,CPI-SC0FDE82C05,957,1808,CellChatDB_v1,user_curated,,NigelHo,,
203,CPI-SC073544134,898,1808,CellChatDB_v1,user_curated,,NigelHo,,
204,CPI-SC0AEC52E73,69,1808,CellChatDB_v1,user_curated,,NigelHo,,
205,CPI-SC05E4FA547,70,1808,CellChatDB_v1,user_curated,,NigelHo,,
206,CPI-SC09D3FA32B,228,1810,CellChatDB_v1,user_curated,,NigelHo,,
207,CPI-SC0CA4A7AF7,953,1810,CellChatDB_v1,user_curated,,NigelHo,,
208,CPI-SC050F453C5,1751,1810,CellChatDB_v1,user_curated,,NigelHo,,
209,CPI-SC060CAF2BD,1022,1810,CellChatDB_v1,user_curated,,NigelHo,,
210,CPI-SC001BD2F39,289,1810,CellChatDB_v1,user_curated,,NigelHo,,
211,CPI-SC05D7BF6AC,897,1810,CellChatDB_v1,user_curated,,NigelHo,,
212,CPI-SC09E6AC2F5,668,1810,CellChatDB_v1,user_curated,,NigelHo,,
213,CPI-SC0BCA5D6A5,669,1810,CellChatDB_v1,user_curated,,NigelHo,,
214,CPI-SC09C59F73D,670,1810,CellChatDB_v1,user_curated,,NigelHo,,
215,CPI-SC056F2D04E,1061,1810,CellChatDB_v1,user_curated,,NigelHo,,
216,CPI-SC0BAD0A831,60,1810,CellChatDB_v1,user_curated,,NigelHo,,
217,CPI-SC090C59110,671,1810,CellChatDB_v1,user_curated,,NigelHo,,
218,CPI-SC022BEBD83,957,1810,CellChatDB_v1,user_curated,,NigelHo,,
219,CPI-SC0BEC869BA,898,1810,CellChatDB_v1,user_curated,,NigelHo,,
220,CPI-SC0CDC53EF1,69,1810,CellChatDB_v1,user_curated,,NigelHo,,
221,CPI-SC096736E48,70,1810,CellChatDB_v1,user_curated,,NigelHo,,
222,CPI-SC081332276,228,1812,CellChatDB_v1,user_curated,,NigelHo,,
223,CPI-SC012DB3194,953,1812,CellChatDB_v1,user_curated,,NigelHo,,
224,CPI-SC09A4437C9,1751,1812,CellChatDB_v1,user_curated,,NigelHo,,
225,CPI-SC04CC06812,1022,1812,CellChatDB_v1,user_curated,,NigelHo,,
226,CPI-SC03346B36E,289,1812,CellChatDB_v1,user_curated,,NigelHo,,
227,CPI-SC0FBD05A5F,897,1812,CellChatDB_v1,user_curated,,NigelHo,,
228,CPI-SC0AA850318,668,1812,CellChatDB_v1,user_curated,,NigelHo,,
229,CPI-SC00806A658,669,1812,CellChatDB_v1,user_curated,,NigelHo,,
230,CPI-SC0A1AC8874,670,1812,CellChatDB_v1,user_curated,,NigelHo,,
231,CPI-SC03754EC20,1061,1812,CellChatDB_v1,user_curated,,NigelHo,,
232,CPI-SC032AE5D59,60,1812,CellChatDB_v1,user_curated,,NigelHo,,
