id_multidata,name,receptor,receptor_desc,other,other_desc,secreted_highlight,secreted_desc,transmembrane,secreted,peripheral,integrin,is_complex
1235,Q13002,True,,False,,False,,True,False,False,False,False
1236,Q13003,True,,False,,False,,True,False,False,False,False
1237,Q16099,True,,False,,False,,True,False,False,False,False
1238,Q16478,True,,False,,False,,True,False,False,False,False
1239,Q13255,True,,False,,False,,True,False,False,False,False
1240,Q14416,True,,False,,False,,True,False,False,False,False
1241,Q14832,True,,False,,False,,True,False,False,False,False
1242,Q14833,True,,False,,False,,True,False,False,False,False
1243,P41594,True,,False,,False,,True,False,False,False,False
1244,O15303,True,,False,,False,,True,False,False,False,False
1245,Q14831,True,,False,,False,,True,False,False,False,False
1246,O00222,True,,False,,False,,True,False,False,False,False
1247,Q86YT9,True,,False,,False,,True,False,False,False,False
1248,Q8N109,True,,False,,False,,True,False,False,False,False
1249,P24043,False,,False,,False,,False,True,False,False,False
1250,Q92633,True,,False,,False,,True,False,False,False,False
1251,Q9HBW0,True,,False,,False,,True,False,False,False,False
1252,Q9UBY5,True,,False,,False,,True,False,False,False,False
1253,Q9NT99,False,,False,,False,,True,False,False,False,False
1254,Q9HCJ2,False,,False,,False,,True,False,False,False,False
1255,Q6PJG9,False,,False,,False,,True,False,False,False,False
1256,Q96NI6,False,,False,,False,,True,False,False,False,False
1257,Q86UE6,False,,False,,False,,True,False,False,False,False
1258,O43300,False,,False,,False,,True,False,False,False,False
1259,Q86VH5,False,,False,,False,,True,False,False,False,False
1260,Q86VH4,False,,False,,False,,True,False,False,False,False
1261,O95297,False,,False,,False,,True,False,False,False,False
1262,P43121,False,,False,,False,,False,False,True,False,False
1263,O00533,False,,False,,True,,True,True,False,False,False
1264,Q8N2Q7,False,,False,,False,,True,False,False,False,False
1265,Q8NFZ4,False,,False,,False,,True,False,False,False,False
1266,Q9NZ94,False,,False,,False,,True,False,False,False,False
1267,Q8N0W4,False,,False,,False,,True,False,False,False,False
1268,Q8NFZ3,False,,False,,False,,True,False,False,False,False
1269,Q05586,True,,False,,False,,True,False,False,False,False
1270,O15130,False,,False,,True,Neuropeptide,False,True,False,False,False
1271,Q9Y5X5,True,,False,,False,,True,False,False,False,False
1272,P01303,False,,False,,True,Neuropeptide,False,True,False,False,False
1273,Q92823,False,,False,,True,,True,True,False,False,False
1274,Q9ULB1,False,,False,,False,,True,False,False,False,False
1275,P58400,False,,False,,False,,True,False,False,False,False
1276,P58401,False,,False,,False,,True,False,False,False,False
1277,Q9HDB5,False,,False,,False,,True,False,False,False,False
1278,Q96EP9,False,,False,,False,,True,False,False,False,False
1279,O95665,True,,False,,False,,True,False,False,False,False
1280,P78380,True,,False,,True,,True,True,False,False,False
1281,P25116,True,,False,,False,,True,False,False,False,False
1282,O00254,True,,False,,False,,True,False,False,False,False
1283,Q96RI0,True,,False,,False,,True,False,False,False,False
1284,Q6UXB8,False,,False,,False,,False,True,False,False,False
1285,P01833,True,,False,,True,,True,True,False,False,False
1286,P41222,False,,False,,False,,False,True,False,False,False
1287,P23468,True,,False,,False,,True,False,False,False,False
1288,P10586,True,,False,,False,,True,False,False,False,False
1289,Q9BZR6,True,,False,,False,,True,False,False,False,False
1290,Q99808,False,,False,,False,,True,False,False,False,False
1291,Q14542,False,,False,,False,,True,False,False,False,False
1292,Q9BZD2,False,,False,,False,,True,False,False,False,False
1293,Q7RTT9,False,,False,,False,,True,False,False,False,False
1294,P48066,False,,False,,False,,True,False,False,False,False
1295,P48065,False,,False,,False,,True,False,False,False,False
1296,Q9NSD5,False,,False,,False,,True,False,False,False,False
1297,Q9GZV3,False,,False,,False,,True,False,False,False,False
1298,P30531,False,,False,,False,,True,False,False,False,False
1299,P23975,False,,False,,False,,True,False,False,False,False
1300,Q01959,False,,False,,False,,True,False,False,False,False
1301,P31645,False,,False,,False,,True,False,False,False,False
1302,Q9Y345,False,,False,,False,,True,False,False,False,False
1303,P31641,False,,False,,False,,True,False,False,False,False
1304,P48029,False,,False,,False,,True,False,False,False,False
1305,P48067,False,,False,,False,,True,False,False,False,False
1306,P18827,False,,False,,False,,True,True,False,False,False
1307,P34741,False,,False,,False,,True,True,False,False,False
1308,P35247,False,,False,,False,,False,True,False,False,False
1309,Q96PX8,False,,False,,False,,True,False,False,False,False
1310,Q9H156,False,,False,,False,,True,False,False,False,False
1311,O94933,False,,False,,False,,True,False,False,False,False
1312,Q8IW52,False,,False,,False,,True,False,False,False,False
1313,O94991,False,,False,,False,,True,False,False,False,False
1314,Q9H5Y7,False,,False,,False,,True,False,False,False,False
1315,Q96RJ0,True,,False,,False,,True,False,False,False,False
1316,Q9UKZ4,False,,False,,False,,True,False,False,False,False
1317,Q9NT68,False,,False,,False,,True,False,False,False,False
1318,Q9P273,False,,False,,False,,True,False,False,False,False
1319,Q6N022,False,,False,,False,,True,False,False,False,False
1320,P21980,False,,False,,True,,False,True,False,False,False
1321,P17752,False,,False,,False,,False,False,False,False,False
1322,Q8IWU9,False,,False,,False,,False,False,False,False,False
1323,O14907,False,,False,,False,,True,False,False,False,False
1324,Q16572,False,,False,,False,,False,False,False,False,False
1325,Q6EMK4,False,,False,,True,,False,True,False,False,False
1326,Q9P2U7,False,,False,,False,,True,False,False,False,False
1327,Q9P2U8,False,,False,,False,,True,False,False,False,False
1328,Q8NDX2,False,,False,,False,,True,False,False,False,False
1329,Q9H598,False,,False,,False,,False,False,False,False,False
1330,Q9H7M9,True,,False,,False,,True,False,False,False,False
1331,P54219,False,,False,,False,,False,False,False,False,False
1332,Q05940,False,,False,,False,,False,False,False,False,False
1333,P01215,False,,False,,True,Hormone,False,True,False,False,False
